date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:33	400/400	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2020%20Jul%202018%2015:09:33%20GMT	http://www.saadstudio.in/robots.txt		(from )
20:39:33	14544/14544	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:32%20GMT	http://www.saadstudio.in/	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/index.html	(from )
20:39:35	27466/27466	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:33%20GMT	http://www.saadstudio.in/css/font-awesome.min.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/font-awesome.min.css	(from http://www.saadstudio.in/)
20:39:36	113498/113498	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:29%20GMT	http://www.saadstudio.in/css/bootstrap.min.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/bootstrap.min.css	(from http://www.saadstudio.in/)
20:39:37	3829/3829	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:36%20GMT	http://www.saadstudio.in/css/jquery.bxslider.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/jquery.bxslider.css	(from http://www.saadstudio.in/)
20:39:37	3965/3965	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:34%20GMT	http://www.saadstudio.in/css/isotope.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/isotope.css	(from http://www.saadstudio.in/)
20:39:38	4899/4899	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:32:54%20GMT	http://www.saadstudio.in/js/fancybox/jquery.fancybox.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/jquery.fancybox.css	(from http://www.saadstudio.in/)
20:39:39	61382/61382	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:19%20GMT	http://www.saadstudio.in/css/animate.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/animate.css	(from http://www.saadstudio.in/)
20:39:40	13465/13465	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:35:22%20GMT	http://www.saadstudio.in/css/style.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/style.css	(from http://www.saadstudio.in/)
20:39:40	14544/14544	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:40%20GMT	http://www.saadstudio.in/index.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/index-2.html	(from http://www.saadstudio.in/)
20:39:41	9337/9337	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:41%20GMT	http://www.saadstudio.in/music.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/music.html	(from http://www.saadstudio.in/)
20:39:42	9152/9152	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:41%20GMT	http://www.saadstudio.in/dance.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/dance.html	(from http://www.saadstudio.in/)
20:39:44	9265/9265	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:43%20GMT	http://www.saadstudio.in/recording.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/recording.html	(from http://www.saadstudio.in/)
20:39:44	11146/11146	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:44%20GMT	http://www.saadstudio.in/gallery.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/gallery.html	(from http://www.saadstudio.in/)
20:39:44	7054/7054	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:43%20GMT	http://www.saadstudio.in/fitness.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fitness.html	(from http://www.saadstudio.in/)
20:39:44	6407/6407	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2015:09:44%20GMT	http://www.saadstudio.in/contact.html	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/contact.html	(from http://www.saadstudio.in/)
20:40:14	200846/200846	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:14%20GMT	http://www.saadstudio.in/img/slider/5.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/slider/5.jpg	(from http://www.saadstudio.in/)
20:40:26	68380/68380	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:27%20GMT	http://www.saadstudio.in/img/team/1.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/team/1.jpg	(from http://www.saadstudio.in/)
20:40:40	85679/85679	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:29%20GMT	http://www.saadstudio.in/img/team/2.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/team/2.jpg	(from http://www.saadstudio.in/)
20:40:48	384303/384303	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:17%20GMT	http://www.saadstudio.in/img/slider/6.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/slider/6.jpg	(from http://www.saadstudio.in/)
20:40:51	63782/63782	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:32%20GMT	http://www.saadstudio.in/img/team/3.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/team/3.jpg	(from http://www.saadstudio.in/)
20:40:55	414351/414351	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:25%20GMT	http://www.saadstudio.in/img/slider/8.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/slider/8.jpg	(from http://www.saadstudio.in/)
20:40:55	24537/24537	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:33%20GMT	http://www.saadstudio.in/img/team/4.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/team/4.jpg	(from http://www.saadstudio.in/)
20:40:56	35601/35601	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:39%20GMT	http://www.saadstudio.in/js/bootstrap.min.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/bootstrap.min.js	(from http://www.saadstudio.in/)
20:40:56	84245/84245	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:42%20GMT	http://www.saadstudio.in/js/jquery-2.1.1.min.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/jquery-2.1.1.min.js	(from http://www.saadstudio.in/)
20:40:57	3419/3419	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:45%20GMT	http://www.saadstudio.in/js/wow.min.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/wow.min.js	(from http://www.saadstudio.in/)
20:40:57	466802/466802	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:22%20GMT	http://www.saadstudio.in/img/slider/7.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/slider/7.jpg	(from http://www.saadstudio.in/)
20:40:58	8097/8097	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:43%20GMT	http://www.saadstudio.in/js/jquery.easing.1.3.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/jquery.easing.1.3.js	(from http://www.saadstudio.in/)
20:40:59	1777/1777	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:40%20GMT	http://www.saadstudio.in/js/functions.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/functions.js	(from http://www.saadstudio.in/)
20:40:59	23135/23135	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:55%20GMT	http://www.saadstudio.in/js/fancybox/jquery.fancybox.pack.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/jquery.fancybox.pack.js	(from http://www.saadstudio.in/)
20:41:01	20335/20335	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:52%20GMT	http://www.saadstudio.in/fonts/glyphicons-halflings-regular.eot	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/glyphicons-halflings-regular.eot	(from http://www.saadstudio.in/css/bootstrap.min.css)
20:41:02	19359/19359	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:42%20GMT	http://www.saadstudio.in/js/jquery.bxslider.min.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/jquery.bxslider.min.js	(from http://www.saadstudio.in/)
20:41:04	23320/23320	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:57%20GMT	http://www.saadstudio.in/fonts/glyphicons-halflings-regular.woff	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/glyphicons-halflings-regular.woff	(from http://www.saadstudio.in/css/bootstrap.min.css)
